1755339419, 20m, 14075037, FT8, M5MOW, IO91VT55LM, 223, Tx, 9Y4C, FK90GP, 90, -15
1755339375, 20m, 14076081, FT8, M0SLI, JO02, 223, Tx, HA8TKS, JN96UV18, 239, -2
1755339420, 20m, 14074870, FT8, 2E0KCU, IO91KF, 223, Tx, SV2SIH, KN10MS, 236, -22
1755339417, 20m, 14074866, FT8, G8IXM, JO02PP29, 223, Tx, OE6TNO, JN77RC, 206, -15
1755339417, 20m, 14075034, FT8, M5MOW, IO91VT55LM, 223, Tx, W2SAP, FN22XR, 291, -15
1755339405, 20m, 14074963, FT8, M5MOW, IO91VT55LM, 223, Tx, W1NT-6, FN42LU, 291, -2
1755339419, 20m, 14074887, FT8, G8IXM, JO02PP29, 223, Tx, HI8J, FK58AL, 72, -24
1755339417, 20m, 14062990, FT8, 2E0KCU, IO91KF, 223, Tx, EA1SAL, IN71HA21, 281, -7
1755339419, 20m, 14063018, FT8, G8IXM, JO02PP29, 223, Tx, EA1SAL, IN71HA21, 281, -19
1755339420, 20m, 14063183, FT8, M5MOW, IO91VT55LM, 223, Tx, EA1SAL, IN71HA21, 281, -11
1755339371, 20m, 14074245, FT8, M0MLS, IO92AN, 223, Tx, CT1DZS, IN51RE, 272, -5
1755339432, 20m, 14074604, FT8, M7CCZ, JO02ND, 223, Tx, SP2GJI, JO93CC, 269, -9
1755339432, 20m, 14074233, FT8, M0MLS, IO92AN, 223, Tx, SP2GJI, JO93CC, 269, -15
1755339387, 20m, 14076071, FT8, M0SLI, JO02, 223, Tx, KW1DX, FN42FR05, 291, -22
1755339254, 20m, 14074451, FT8, G8KHF, IO92KG, 223, Tx, SV1ONU, KM18VA, 236, -16
1755339314, 20m, 14074224, FT8, M0MLS, IO92AN, 223, Tx, SV1ONU, KM18VA, 236, -19
1755339344, 20m, 14074296, FT8, G3WGC, JO02KT, 223, Tx, SV1ONU, KM18VA, 236, -16
1755339419, 20m, 14075032, FT8, M5MOW, IO91VT55LM, 223, Tx, SV1ONU, KM18VA, 236, -11
1755339254, 20m, 14074368, FT8, G8KHF, IO92KG, 223, Tx, E77WA, JN83VI, 501, -14
1755339329, 20m, 14074947, FT8, M5MOW, IO91VT55LM, 223, Tx, E77WA, JN83VI, 501, -15
1755339389, 20m, 14075989, FT8, M0SLI, JO02, 223, Tx, E77WA, JN83VI, 501, -11
1755339419, 20m, 14074753, FT8, 2E0KCU, IO91KF, 223, Tx, E77WA, JN83VI, 501, -16
1755339419, 20m, 14074782, FT8, G8IXM, JO02PP29, 223, Tx, E77WA, JN83VI, 501, -18
1755339419, 20m, 14074839, FT8, 2E0KCU, IO91KF, 223, Tx, DF2LV, JO44RS15, 230, -7
1755339434, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, DF2LV, JO44RS15, 230, -4
1755339360, 20m, 14074597, FT8, M7CCZ, JO02ND, 223, Tx, OH8WX, KP45CL, 224, -12
1755339255, 20m, 14075031, FT8, M5MOW, IO91VT55LM, 223, Tx, SM2YWH, JP85NC24, 284, -9
1755339315, 20m, 14076356, FT8, M1DBW, IO91CO, 223, Tx, SM2YWH, JP85NC24, 284, 0
1755339372, 20m, 14074597, FT8, M7CCZ, JO02ND, 223, Tx, PE1OID, JO33KI90, 263, -16
1755339402, 20m, 14076078, FT8, M0SLI, JO02, 223, Tx, PE1OID, JO33KI90, 263, -17
1755339420, 20m, 14074843, FT8, 2E0KCU, IO91KF, 223, Tx, 9A7JCY, JN74OC, 497, -14
1755339422, 20m, 14074873, FT8, G8IXM, JO02PP29, 223, Tx, 9A7JCY, JN74OC, 497, -19
1755339300, 20m, 14074453, FT8, G8KHF, IO92KG, 223, Tx, RA9COR, MO16AS55, 54, -13
1755339390, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, RA9COR, MO16AS55, 54, -13
1755339285, 20m, 14074966, FT8, GB2SL, JO03BN, 223, Tx, PE1NPM-2, JO22UA, 263, -10
1755339432, 20m, 14074255, FT8, M0MLS, IO92AN, 223, Tx, IK8NBE, JN71EB50, 248, -5
1755339149, 20m, 14074851, FT8, M0LOW, IO90KT06, 223, Tx, IV3KAS, JN65TS65, 248, -15
1755339208, 20m, 14075031, FT8, M5MOW, IO91VT55LM, 223, Tx, IV3KAS, JN65TS65, 248, -4
1755339209, 20m, 14074837, FT8, 2E0KCU, IO91KF, 223, Tx, IV3KAS, JN65TS65, 248, -15
1755339403, 20m, 14074222, FT8, M0MLS, IO92AN, 223, Tx, IV3KAS, JN65TS65, 248, -2
1755339419, 20m, 14074865, FT8, G8IXM, JO02PP29, 223, Tx, IV3KAS, JN65TS65, 248, -15
1755339417, 20m, 14074867, FT8, 2E0KCU, IO91KF, 223, Tx, OH6JYW, KP22PR, 224, -13
1755339417, 20m, 14074841, FT8, 2E0KCU, IO91KF, 223, Tx, DD1MM.P, JO43IE, 230, -13
1755339150, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, DG1ATN, JO50KQ98, 230, -13
1755339270, 20m, 14075731, FT8, G6GXH, IO81, 223, Tx, DG1ATN, JO50KQ98, 230, -14
1755339270, 20m, 14074450, FT8, G8KHF, IO92KG, 223, Tx, DG1ATN, JO50KQ98, 230, -13
1755339390, 20m, 14074459, FT8, G3WGC, JO02KT, 223, Tx, DL0PF, JN68RN16, 230, 1
1755339405, 20m, 14075031, FT8, G8IXM, JO02PP29, 223, Tx, DL0PF, JN68RN16, 230, -15
1755339420, 20m, 14074388, FT8, M0MLS, IO92AN, 223, Tx, DL0PF, JN68RN16, 230, 5
1755339432, 20m, 14074241, FT8, M0MLS, IO92AN, 223, Tx, WK3N, EN91SN73EH, 291, -14
1755339315, 20m, 14075034, FT8, M5MOW, IO91VT55LM, 223, Tx, KC2G, FN21WA, 291, -21
