1755339401, 20m, 14075893, FT8, M0MPQ, IO92UK, 223, Rx, OH5UY, KP20, 224, 1
1755339401, 20m, 14074654, FT8, M0MPQ, IO92UK, 223, Rx, SP.M7TEI, JO74, 269, -5
1755339401, 20m, 14076064, FT8, M0MPQ, IO92UK, 223, Rx, UW8SM, KN28IV27HA, 288, -8
1755339404, 20m, 14075500, FT8, M0MPQ, IO92UK, 223, Rx, F5NNN, IN94OT, 227, -17
1755339344, 20m, 14074683, FT8, M0PRF, IO81RE, 223, Rx, R1BEO, KP50LM, 54, -16
1755339357, 20m, 14074530, FT8, M0PRF, IO81RE, 223, Rx, SQ9FSH, JO90XJ, 269, -8
1755339390, 20m, 14075887, FT8, G4IRN, IO82MO, 223, Rx, OH5UY, KP20, 224, 11
1755339390, 20m, 14074921, FT8, G4IRN, IO82MO, 223, Rx, 9A6T, JN75XS, 497, 8
1755339390, 20m, 14075827, FT8, G4IRN, IO82MO, 223, Rx, RU6UR, LN36XG45UX, 54, -3
1755339390, 20m, 14074305, FT8, G4IRN, IO82MO, 223, Rx, G3WGC, JO02KT, 223, -12
1755339390, 20m, 14076058, FT8, G4IRN, IO82MO, 223, Rx, UW8SM, KN28IV27HA, 288, 8
1755339372, 20m, 14075116, FT8, G4ZEO, IO81RF, 223, Rx, IZ6SCG, JN62QI, 248, -6
1755339372, 20m, 14076261, FT8, G4ZEO, IO81RF, 223, Rx, R2FDU, JO94WP55, 126, -11
1755339372, 20m, 14074284, FT8, G4ZEO, IO81RF, 223, Rx, EA7CN.P, IM67RI51, 281, -12
1755339374, 20m, 14076213, FT8, G4ZEO, IO81RF, 223, Rx, DJ3DN, JN47UN, 230, -16
1755339387, 20m, 14075543, FT8, G4ZEO, IO81RF, 223, Rx, EA3FAB, JN01XG77, 281, -7
1755339402, 20m, 14075861, FT8, G4ZEO, IO81RF, 223, Rx, OH5UY, KP20, 224, -12
1755339402, 20m, 14074622, FT8, G4ZEO, IO81RF, 223, Rx, SP.M7TEI, JO74, 269, -13
1755339417, 20m, 14076774, FT8, G4ZEO, IO81RF, 223, Rx, DL1HQN, JO61BJ, 230, -2
1755339417, 20m, 14077076, FT8, G4ZEO, IO81RF, 223, Rx, DL0RWE.LH, JO33IO, 230, -15
1755339417, 20m, 14076307, FT8, G4ZEO, IO81RF, 223, Rx, DL0GEO, JO33RH, 230, -20
1755339401, 20m, 14075888, FT8, G8KHF, IO92KG, 223, Rx, OH5UY, KP20, 224, -4
1755339402, 20m, 14075754, FT8, G8KHF, IO92KG, 223, Rx, UY5BF, KN29TN, 288, -17
1755339401, 20m, 14074940, FT8, G0PDR, IO81WW, 223, Rx, DB8BT, JO42NL, 230, -8
1755339401, 20m, 14076679, FT8, G0PDR, IO81WW, 223, Rx, DJ0MAB, JN49KN, 230, -6
1755339401, 20m, 14075730, FT8, G0PDR, IO81WW, 223, Rx, UY5BF, KN29TN, 288, -17
1755339404, 20m, 14075864, FT8, G0PDR, IO81WW, 223, Rx, OH5UY, KP20, 224, -24
1755339344, 20m, 14075381, FT8, M0RDW, IO82WX, 223, Rx, WA9WUD, EN61SW28, 291, -19
1755339356, 20m, 14075881, FT8, M0RDW, IO82WX, 223, Rx, OE6HTG, JN77VH95, 206, 1
1755339356, 20m, 14074340, FT8, M0RDW, IO82WX, 223, Rx, SQ9FSH, JO90XJ, 269, -15
1755339357, 20m, 14075421, FT8, M0RDW, IO82WX, 223, Rx, NK1I, FN43TT, 291, -16
1755339359, 20m, 14076210, FT8, M0RDW, IO82WX, 223, Rx, VE9TIC, FN65TN, 1, -17
1755339359, 20m, 14074812, FT8, M0RDW, IO82WX, 223, Rx, KK4OMJ, EM78SA69, 291, -20
1755339359, 20m, 14076569, FT8, M0RDW, IO82WX, 223, Rx, UA6HGM, LN14LC14, 54, -18
