1755282356, 2m, 144175854, FT8, G0GXT, IO82RL, 223, Rx, G8SEI, IO92FO, 223, -12
1755282341, 2m, 144176081, FT8, G0BIX, JO01GI, 223, Rx, DB9VE, JN39HH, 230, -18
1755282266, 2m, 144175034, FT8, G1OJS, IO90JU, 223, Rx, G0VXM, IO93IR61, 223, -5
1755282356, 2m, 144175768, FT8, G1OJS, IO90JU, 223, Rx, G8SEI, IO92FO, 223, -9
1755282356, 2m, 144175773, FT8, G6XRK, IO91RN, 223, Rx, G8SEI, IO92FO, 223, -12
1755282371, 2m, 144175835, FT8, G6XRK, IO91RN, 223, Rx, DB9VE, JN39HH, 230, -18
1755282359, 2m, 144174776, FT8, GW4WVO, IO81IL, 294, Rx, G8SEI, IO92FO, 223, -15
1755282341, 2m, 144175930, FT8, M0CRX, IO91KF, 223, Rx, DB9VE, JN39HH, 230, -16
1755282266, 2m, 144175027, FT8, M7FWJ, IO92GM, 223, Rx, G0VXM, IO93IR61, 223, -5
1755282255, 2m, 144174964, FT8, M0AAA, IO91NL, 223, Rx, G0VXM, IO93IR61, 223, -15
1755282075, 2m, 144174959, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, PD7JLP, JO32KQ, 263, -14
1755282195, 2m, 144175568, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, G0JDL, JO02SI84, 223, -20
1755282341, 2m, 144175980, FT8, G4SWX, JO02RF, 223, Rx, PA0RRU, JO32FX75, 263, -4
1755282356, 2m, 144175993, FT8, 2E0IHV, IO91FM, 223, Rx, G8SEI, IO92FO, 223, -17
1755282389, 2m, 144175256, FT8, 2E0IHV, IO91FM, 223, Rx, G0VXM, IO93IR61, 223, -20
1755282431, 2m, 144174375, FT8, G0GXT, IO82RL, 223, Rx, G6DDN, IO93BS, 223, -14
1755282359, 2m, 144174837, FT8, M0CYP, IO82SQ, 223, Rx, G0VXM, IO93IR61, 223, -9
1755282371, 2m, 144175929, FT8, G8DJF, IO91PO, 223, Rx, DB9VE, JN39HH, 230, -18
1755282296, 2m, 144176277, FT8, G4LPP, JO02SS, 223, Rx, PD1B, JO32GQ49, 263, 4
1755282296, 2m, 144175871, FT8, G4LPP, JO02SS, 223, Rx, DD7LG, JO33PN, 230, -4
1755282311, 2m, 144176000, FT8, G4LPP, JO02SS, 223, Rx, PE1JSH, JO22TA, 263, -12
1755282326, 2m, 144174819, FT8, G4LPP, JO02SS, 223, Rx, G0VXM, IO93IR61, 223, -15
1755282341, 2m, 144176034, FT8, G4LPP, JO02SS, 223, Rx, PA0RRU, JO32FX75, 263, 1
1755282356, 2m, 144175781, FT8, G4LPP, JO02SS, 223, Rx, G8SEI, IO92FO, 223, 16
1755282416, 2m, 144175712, FT8, G0LGS, IO81WV71, 223, Rx, G8SEI, IO92FO, 223, -11
1755282341, 2m, 144175982, FT8, G0JDL, JO02SI84, 223, Rx, PA0RRU, JO32FX75, 263, -5
1755282431, 2m, 144175728, FT8, G0JDL, JO02SI84, 223, Rx, DD7LG, JO33PN, 230, -11
1755282341, 2m, 144175916, FT8, M0BAA, JO01NC, 223, Rx, PA0RRU, JO32FX75, 263, -15
1755282208, 2m, 144175796, FT8, G4PIQ, JO02OD, 223, Rx, G0JDL, JO02SI84, 223, -4
1755282343, 2m, 144176103, FT8, G4PIQ, JO02OD, 223, Rx, PA0RRU, JO32FX75, 263, -7
1755282404, 2m, 144175850, FT8, G4PIQ, JO02OD, 223, Rx, DD7LG, JO33PN, 230, -15
1755282493, 2m, 144174788, FT8, G4PIQ, JO02OD, 223, Rx, PD2PC, JO32EW08, 263, -3
1755282506, 2m, 144175347, FT8, G0GXT, IO82RL, 223, Rx, G0JDL, JO02SI84, 223, -15
1755282341, 2m, 144174637, FT8, G8DGR, IO91JJ, 223, Rx, DB9VE, JN39HH, 230, -11
1755282434, 2m, 144175727, FT8, G4SWX, JO02RF, 223, Rx, DD7LG, JO33PN, 230, -1
1755282491, 2m, 144174664, FT8, G4SWX, JO02RF, 223, Rx, PD2PC, JO32EW08, 263, -2
1755282521, 2m, 144174418, FT8, G4SWX, JO02RF, 223, Rx, G6DDN, IO93BS, 223, -5
1755282509, 2m, 144175406, FT8, M7FWJ, IO92GM, 223, Rx, G0JDL, JO02SI84, 223, -20
1755282491, 2m, 144174599, FT8, M0BAA, JO01NC, 223, Rx, PD2PC, JO32EW08, 263, -10
1755282491, 2m, 144175156, FT8, M0BAA, JO01NC, 223, Rx, F5RRS, JN36EB44, 227, -13
1755282536, 2m, 144174912, FT8, M0BAA, JO01NC, 223, Rx, G0VXM, IO93IR61, 223, -12
1755282464, 2m, 144174458, FT8, G4LPP, JO02SS, 223, Rx, G6DDN, IO93BS, 223, -15
1755282491, 2m, 144174718, FT8, G4LPP, JO02SS, 223, Rx, PD2PC, JO32EW08, 263, -3
1755282491, 2m, 144175727, FT8, G4LPP, JO02SS, 223, Rx, PA0KJK, JO22JL, 263, -12
1755282506, 2m, 144175430, FT8, G4LPP, JO02SS, 223, Rx, G0JDL, JO02SI84, 223, 2
1755282506, 2m, 144175537, FT8, G4LPP, JO02SS, 223, Rx, PD7JV, JO21EW, 263, -8
1755282281, 2m, 144175762, FT8, G4CCC, IO91ML14, 223, Rx, DB9VE, JN39HH, 230, -14
1755282299, 2m, 144174981, FT8, G4CCC, IO91ML14, 223, Rx, G0VXM, IO93IR61, 223, -19
1755282434, 2m, 144175913, FT8, G8SEI, IO92FO, 223, Rx, PA0RRU, JO32FX75, 263, -12
1755282494, 2m, 144174595, FT8, G8SEI, IO92FO, 223, Rx, PD2PC, JO32EW08, 263, -10
1755282494, 2m, 144174346, FT8, G8SEI, IO92FO, 223, Rx, G6DDN, IO93BS, 223, -15
1755282509, 2m, 144175305, FT8, G8SEI, IO92FO, 223, Rx, G0JDL, JO02SI84, 223, -5
1755282509, 2m, 144174875, FT8, G8SEI, IO92FO, 223, Rx, G0VXM, IO93IR61, 223, -12
1755282524, 2m, 144175659, FT8, G8SEI, IO92FO, 223, Rx, DD7LG, JO33PN, 230, -11
1755282524, 2m, 144175604, FT8, G8SEI, IO92FO, 223, Rx, PA0KJK, JO22JL, 263, -19
1755282360, 2m, 144175747, FT8, G0KTN, IO81TI, 223, Rx, G8SEI, IO92FO, 223, -16
1755282521, 2m, 144174460, FT8, G4KWQ, IO92AQ09, 223, Rx, G6DDN, IO93BS, 223, -3
1755282524, 2m, 144174683, FT8, G4KPZ, IO92WK, 223, Rx, G6DDN, IO93BS, 223, -14
1755282567, 2m, 144175640, FT8, G4KPZ, IO92WK, 223, Rx, G0JDL, JO02SI84, 223, -19
1755282225, 2m, 144175098, FT8, 2E0HSV, IO92MF, 223, Rx, G0VXM, IO93IR61, 223, -12
1755282281, 2m, 144175842, FT8, G0JCC, IO82MA21, 223, Rx, DB9VE, JN39HH, 230, -11
1755282434, 2m, 144175813, FT8, G0JCC, IO82MA21, 223, Rx, DD7LG, JO33PN, 230, -19
1755282581, 2m, 144175942, FT8, G4SWX, JO02RF, 223, Rx, PE1JSH, JO22TA, 263, -14
1755282419, 2m, 144174967, FT8, G0LRD, JO02AC, 223, Rx, G0VXM, IO93IR61, 223, -17
1755282371, 2m, 144175745, FT8, G4KVT, IO81RK, 223, Rx, DB9VE, JN39HH, 230, -18
1755282491, 2m, 144174666, FT8, G0JDL, JO02SI84, 223, Rx, PD2PC, JO32EW08, 263, -6
1755282358, 2m, 144175730, FT8, G8FJG, JO01CM43, 223, Rx, G8SEI, IO92FO, 223, -19
1755282418, 2m, 144174976, FT8, G8FJG, JO01CM43, 223, Rx, G0VXM, IO93IR61, 223, -20
1755282641, 2m, 144174760, FT8, G0GXT, IO82RL, 223, Rx, M0ALA, IO93GO, 223, -5
1755282536, 2m, 144176428, FT8, M0CRX, IO91KF, 223, Rx, F6ANO, JN18JR, 227, -16
1755282630, 2m, 144174814, FT8, G4SWX, JO02RF, 223, Rx, DG1BA, JO43LB43JK, 230, -19
1755282626, 2m, 144174868, FT8, G4LPP, JO02SS, 223, Rx, DG1BA, JO43LB43JK, 230, -18
1755282671, 2m, 144174659, FT8, G4LPP, JO02SS, 223, Rx, M0ALA, IO93GO, 223, -16
1755282644, 2m, 144175222, FT8, M0MST, IO82XB, 223, Rx, M0ALA, IO93GO, 223, -21
1755282405, 2m, 144174869, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, G0VXM, IO93IR61, 223, -12
1755282614, 2m, 144175730, FT8, G0JDL, JO02SI84, 223, Rx, DB9VE, JN39HH, 230, -11
1755282671, 2m, 144174795, FT8, G0JDL, JO02SI84, 223, Rx, M0ALA, IO93GO, 223, -17
1755282686, 2m, 144175531, FT8, G0JDL, JO02SI84, 223, Rx, G8SEI, IO92FO, 223, -11
1755282626, 2m, 144174749, FT8, M0BAA, JO01NC, 223, Rx, DG1BA, JO43LB43JK, 230, -11
1755282746, 2m, 144175133, FT8, M0BAA, JO01NC, 223, Rx, F6ASP, JO00WW, 227, 19
1755282746, 2m, 144175201, FT8, G4DCV, IO91OF, 223, Rx, F6ASP, JO00WW, 227, -10
1755282761, 2m, 144175772, FT8, M0BAA, JO01NC, 223, Rx, PC5T, JO22HJ67, 263, -13
1755282747, 2m, 144175200, FT8, G4SWX, JO02RF, 223, Rx, F6ASP, JO00WW, 227, -11
1755282761, 2m, 144175837, FT8, G4SWX, JO02RF, 223, Rx, PC5T, JO22HJ67, 263, 9
1755282779, 2m, 144175991, FT8, G8SEI, IO92FO, 223, Rx, G8EEM, IO93MX, 223, -5
1755282776, 2m, 144176326, FT8, G4KPZ, IO92WK, 223, Rx, G8EEM, IO93MX, 223, -5
1755282779, 2m, 144176033, FT8, G0GXT, IO82RL, 223, Rx, G8EEM, IO93MX, 223, -12
1755282701, 2m, 144174851, FT8, G1OJS, IO90JU, 223, Rx, M0ALA, IO93GO, 223, -15
1755282779, 2m, 144175095, FT8, GW4WVO, IO81IL, 294, Rx, G8EEM, IO93MX, 223, -18
1755282583, 2m, 144176066, FT8, G4PIQ, JO02OD, 223, Rx, PE1JSH, JO22TA, 263, -11
1755282613, 2m, 144175853, FT8, G4PIQ, JO02OD, 223, Rx, DB9VE, JN39HH, 230, -13
1755282658, 2m, 144174938, FT8, G4PIQ, JO02OD, 223, Rx, DG1BA, JO43LB43JK, 230, -12
1755282703, 2m, 144174547, FT8, G4PIQ, JO02OD, 223, Rx, G6DDN, IO93BS, 223, -18
1755282763, 2m, 144175961, FT8, G4PIQ, JO02OD, 223, Rx, PC5T, JO22HJ67, 263, -16
1755282539, 2m, 144174253, FT8, G8DGR, IO91JJ, 223, Rx, G0JDL, JO02SI84, 223, -18
1755282836, 2m, 144175146, FT8, G4DCV, IO91OF, 223, Rx, G0GXT, IO82RL, 223, -3
1755282761, 2m, 144175890, FT8, G4LPP, JO02SS, 223, Rx, PC5T, JO22HJ67, 263, 4
