2025-08-15_19:25:27, 2m, 144174794, FT8, G0GXT, IO82RL, 223, Rx, G0VXM, IO93IR61, 223, -8
2025-08-15_19:23:26, 2m, 144175609, FT8, M0BAA, JO01NC, 223, Rx, G0JDL, JO02SI84, 223, -12
2025-08-15_19:23:44, 2m, 144175436, FT8, M0BAA, JO01NC, 223, Rx, DD7LG, JO33PN, 230, -18
2025-08-15_19:24:11, 2m, 144175690, FT8, M0BAA, JO01NC, 223, Rx, DB9VE, JN39HH, 230, 6
2025-08-15_19:23:28, 2m, 144175673, FT8, G8FJG, JO01CM43, 223, Rx, G0JDL, JO02SI84, 223, -15
2025-08-15_19:24:13, 2m, 144175756, FT8, G8FJG, JO01CM43, 223, Rx, DB9VE, JN39HH, 230, -14
2025-08-15_19:25:41, 2m, 144175728, FT8, G0GXT, IO82RL, 223, Rx, DB9VE, JN39HH, 230, -5
2025-08-15_19:25:56, 2m, 144175854, FT8, G0GXT, IO82RL, 223, Rx, G8SEI, IO92FO, 223, -12
2025-08-15_19:25:41, 2m, 144176081, FT8, G0BIX, JO01GI, 223, Rx, DB9VE, JN39HH, 230, -18
2025-08-15_19:24:26, 2m, 144175034, FT8, G1OJS, IO90JU, 223, Rx, G0VXM, IO93IR61, 223, -5
2025-08-15_19:25:56, 2m, 144175768, FT8, G1OJS, IO90JU, 223, Rx, G8SEI, IO92FO, 223, -9
2025-08-15_19:25:56, 2m, 144175773, FT8, G6XRK, IO91RN, 223, Rx, G8SEI, IO92FO, 223, -12
2025-08-15_19:26:11, 2m, 144175835, FT8, G6XRK, IO91RN, 223, Rx, DB9VE, JN39HH, 230, -18
2025-08-15_19:25:59, 2m, 144174776, FT8, GW4WVO, IO81IL, 294, Rx, G8SEI, IO92FO, 223, -15
2025-08-15_19:25:41, 2m, 144175930, FT8, M0CRX, IO91KF, 223, Rx, DB9VE, JN39HH, 230, -16
2025-08-15_19:24:26, 2m, 144175027, FT8, M7FWJ, IO92GM, 223, Rx, G0VXM, IO93IR61, 223, -5
2025-08-15_19:24:15, 2m, 144174964, FT8, M0AAA, IO91NL, 223, Rx, G0VXM, IO93IR61, 223, -15
2025-08-15_19:21:15, 2m, 144174959, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, PD7JLP, JO32KQ, 263, -14
2025-08-15_19:23:15, 2m, 144175568, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, G0JDL, JO02SI84, 223, -20
2025-08-15_19:25:41, 2m, 144175980, FT8, G4SWX, JO02RF, 223, Rx, PA0RRU, JO32FX75, 263, -4
2025-08-15_19:25:56, 2m, 144175993, FT8, 2E0IHV, IO91FM, 223, Rx, G8SEI, IO92FO, 223, -17
2025-08-15_19:26:29, 2m, 144175256, FT8, 2E0IHV, IO91FM, 223, Rx, G0VXM, IO93IR61, 223, -20
2025-08-15_19:27:11, 2m, 144174375, FT8, G0GXT, IO82RL, 223, Rx, G6DDN, IO93BS, 223, -14
2025-08-15_19:25:59, 2m, 144174837, FT8, M0CYP, IO82SQ, 223, Rx, G0VXM, IO93IR61, 223, -9
2025-08-15_19:26:11, 2m, 144175929, FT8, G8DJF, IO91PO, 223, Rx, DB9VE, JN39HH, 230, -18
2025-08-15_19:24:56, 2m, 144176277, FT8, G4LPP, JO02SS, 223, Rx, PD1B, JO32GQ49, 263, 4
2025-08-15_19:24:56, 2m, 144175871, FT8, G4LPP, JO02SS, 223, Rx, DD7LG, JO33PN, 230, -4
2025-08-15_19:25:11, 2m, 144176000, FT8, G4LPP, JO02SS, 223, Rx, PE1JSH, JO22TA, 263, -12
2025-08-15_19:25:26, 2m, 144174819, FT8, G4LPP, JO02SS, 223, Rx, G0VXM, IO93IR61, 223, -15
2025-08-15_19:25:41, 2m, 144176034, FT8, G4LPP, JO02SS, 223, Rx, PA0RRU, JO32FX75, 263, 1
2025-08-15_19:25:56, 2m, 144175781, FT8, G4LPP, JO02SS, 223, Rx, G8SEI, IO92FO, 223, 16
2025-08-15_19:26:56, 2m, 144175712, FT8, G0LGS, IO81WV71, 223, Rx, G8SEI, IO92FO, 223, -11
2025-08-15_19:25:41, 2m, 144175982, FT8, G0JDL, JO02SI84, 223, Rx, PA0RRU, JO32FX75, 263, -5
2025-08-15_19:27:11, 2m, 144175728, FT8, G0JDL, JO02SI84, 223, Rx, DD7LG, JO33PN, 230, -11
2025-08-15_19:25:41, 2m, 144175916, FT8, M0BAA, JO01NC, 223, Rx, PA0RRU, JO32FX75, 263, -15
2025-08-15_19:23:28, 2m, 144175796, FT8, G4PIQ, JO02OD, 223, Rx, G0JDL, JO02SI84, 223, -4
2025-08-15_19:25:43, 2m, 144176103, FT8, G4PIQ, JO02OD, 223, Rx, PA0RRU, JO32FX75, 263, -7
2025-08-15_19:26:44, 2m, 144175850, FT8, G4PIQ, JO02OD, 223, Rx, DD7LG, JO33PN, 230, -15
2025-08-15_19:28:13, 2m, 144174788, FT8, G4PIQ, JO02OD, 223, Rx, PD2PC, JO32EW08, 263, -3
2025-08-15_19:28:26, 2m, 144175347, FT8, G0GXT, IO82RL, 223, Rx, G0JDL, JO02SI84, 223, -15
2025-08-15_19:25:41, 2m, 144174637, FT8, G8DGR, IO91JJ, 223, Rx, DB9VE, JN39HH, 230, -11
2025-08-15_19:27:14, 2m, 144175727, FT8, G4SWX, JO02RF, 223, Rx, DD7LG, JO33PN, 230, -1
2025-08-15_19:28:11, 2m, 144174664, FT8, G4SWX, JO02RF, 223, Rx, PD2PC, JO32EW08, 263, -2
2025-08-15_19:28:41, 2m, 144174418, FT8, G4SWX, JO02RF, 223, Rx, G6DDN, IO93BS, 223, -5
2025-08-15_19:28:29, 2m, 144175406, FT8, M7FWJ, IO92GM, 223, Rx, G0JDL, JO02SI84, 223, -20
2025-08-15_19:28:11, 2m, 144174599, FT8, M0BAA, JO01NC, 223, Rx, PD2PC, JO32EW08, 263, -10
2025-08-15_19:28:11, 2m, 144175156, FT8, M0BAA, JO01NC, 223, Rx, F5RRS, JN36EB44, 227, -13
2025-08-15_19:28:56, 2m, 144174912, FT8, M0BAA, JO01NC, 223, Rx, G0VXM, IO93IR61, 223, -12
2025-08-15_19:27:44, 2m, 144174458, FT8, G4LPP, JO02SS, 223, Rx, G6DDN, IO93BS, 223, -15
2025-08-15_19:28:11, 2m, 144174718, FT8, G4LPP, JO02SS, 223, Rx, PD2PC, JO32EW08, 263, -3
2025-08-15_19:28:11, 2m, 144175727, FT8, G4LPP, JO02SS, 223, Rx, PA0KJK, JO22JL, 263, -12
2025-08-15_19:28:26, 2m, 144175430, FT8, G4LPP, JO02SS, 223, Rx, G0JDL, JO02SI84, 223, 2
