1755345720, 10m, 28075699, FT8, G4DBW, JO01NI36, 223, Tx, ZD7GB, IH74DA, 250, -24
1755345763, 40m, 7075723, FT8, GW7HQL, IO81IK, 294, Tx, G6ZRV, IO91VG, 223, -6
1755345732, 40m, 7075122, FT8, M6INJ, IO90KT, 223, Tx, DK5UR, JO40LN56, 230, -18
1755345641, 40m, 7075130, FT8, M6INJ, IO90KT, 223, Tx, MJ0LEL, IN89WF, 122, 15
1755345761, 10m, 28074312, FT8, G3WGC, JO02KT, 223, Tx, W4SPF, EL96AM24, 291, -2
1755345731, 40m, 7075107, FT8, M6INJ, IO90KT, 223, Tx, DK7ZT, JO40HT85, 230, -15
1755345732, 20m, 14075549, FT8, 2E0KKH, JO01JD, 223, Tx, SM5PNP, JO89BM, 284, -18
1755345747, 20m, 14076701, FT8, M0XFI, IO92CK, 223, Tx, SM5PNP, JO89BM, 284, -14
1755345674, 20m, 14075503, FT8, M5ADL, IO80XS, 223, Tx, DL9QJ, JO43XI, 230, -18
1755345776, 15m, 21076338, FT8, M1DBW, IO91CO, 223, Tx, WS9V, EM59DL, 291, -1
1755345747, 20m, 14077641, FT8, M0XFI, IO92CK, 223, Tx, LY8O, KO25OP, 146, 2
1755345750, 20m, 14075518, FT8, 2E0JUJ, IO90HX, 223, Tx, LY8O, KO25OP, 146, -18
1755345615, 15m, 21076752, FT8, 2E0HXM, IO92FR, 223, Tx, EA5WU, IM99WU, 281, -16
1755345689, 15m, 21076297, FT8, M1DBW, IO91CO, 223, Tx, EA5WU, IM99WU, 281, -19
1755345777, 15m, 21076308, FT8, M1DBW, IO91CO, 223, Tx, OH1MYG, KP01TL, 224, -12
1755345689, 20m, 14075280, FT8, 2E0ROJ, IO92LM, 223, Tx, OZ1DKT, JO65FS, 221, -16
1755345734, 20m, 14076047, FT8, M7DLB, IO90PS, 223, Tx, OZ1DKT, JO65FS, 221, -18
1755345764, 20m, 14076096, FT8, M7DLB, IO90PS, 223, Tx, S56IPS, JN75TV55, 499, 1
1755345643, 40m, 7075140, FT8, M6INJ, IO90KT, 223, Tx, PD2MAC.P, JO21QV, 263, -7
1755345780, 15m, 21076323, FT8, M1DBW, IO91CO, 223, Tx, TA2OM, KM69JU, 390, -18
1755345732, 40m, 7075146, FT8, M6INJ, IO90KT, 223, Tx, M5MOW, IO91VT55LM, 223, -19
1755345570, 20m, 14076056, FT8, M7DLB, IO90PS, 223, Tx, LY4PR, KO25VW, 146, -12
1755345732, 40m, 7075116, FT8, M6INJ, IO90KT, 223, Tx, DL3YAV, JO42GB, 230, -12
1755345749, 20m, 14074570, FT8, 2E0JUJ, IO90HX, 223, Tx, LA2VLA, JP66HA, 266, -22
1755345777, 15m, 21076208, FT8, M1DBW, IO91CO, 223, Tx, JA3SCY, PM74VL, 339, -23
1755345734, 2m, 144175463, FT8, G0BIX, JO01GI, 223, Tx, F5UMP, JO10QL17, 227, -19
1755345735, 40m, 7075945, FT8, M5MOW, IO91VT55LM, 223, Tx, OH2BUA, KP30BX, 224, -11
1755345735, 20m, 14076696, FT8, M0XFI, IO92CK, 223, Tx, OH2BUA, KP30BX, 224, -9
1755345735, 20m, 14074888, FT8, G4MHJ, JO01BL74, 223, Tx, OH2BUA, KP30BX, 224, -6
1755345731, 15m, 21074927, FT8, M0KKB, JO01MG, 223, Tx, KQ5S, EM64VF, 291, -15
1755345671, 40m, 7075629, FT8, G8MIA, IO92AS, 223, Tx, PA4PGU, JO21XQ, 263, -3
1755345731, 40m, 7075116, FT8, M6INJ, IO90KT, 223, Tx, PA4PGU, JO21XQ, 263, -17
1755345702, 20m, 14076361, FT8, M7DLB, IO90PS, 223, Tx, DL0TO, JO53JV99, 230, -13
1755345721, 40m, 7075116, FT8, M6INJ, IO90KT, 223, Tx, PA3GUK, JO32GU, 263, -9
1755345765, 20m, 14076058, FT8, M7DLB, IO90PS, 223, Tx, VE3OTL, EN76UM25, 1, -22
1755345777, 15m, 21076289, FT8, M1DBW, IO91CO, 223, Tx, N5NX, EM79VU78, 291, -20
1755345584, 20m, 14076900, FT8, M7CCZ, JO02ND, 223, Tx, EA3ZD, JN01UG, 281, 1
1755345600, 20m, 14076396, FT8, M7GGV, IO91QM, 223, Tx, EA3ZD, JN01UG, 281, -9
1755345630, 20m, 14075288, FT8, 2E0ROJ, IO92LM, 223, Tx, EA3ZD, JN01UG, 281, -14
1755345674, 20m, 14075499, FT8, M5ADL, IO80XS, 223, Tx, EA3ZD, JN01UG, 281, -14
1755345690, 20m, 14074398, FT8, MW7FGG, IO81HQ, 294, Tx, EA3ZD, JN01UG, 281, -14
1755345690, 20m, 14074571, FT8, 2E0JUJ, IO90HX, 223, Tx, EA3ZD, JN01UG, 281, -10
1755345719, 20m, 14076694, FT8, M0XFI, IO92CK, 223, Tx, EA3ZD, JN01UG, 281, -3
1755345570, 15m, 21076472, FT8, M1DBW, IO91CO, 223, Tx, CT7ANO-2, IM58HU, 272, -8
1755345600, 20m, 14075402, FT8, 2E0ROJ, IO92LM, 223, Tx, CT7ANO-2, IM58HU, 272, -1
1755345734, 40m, 7075105, FT8, M6INJ, IO90KT, 223, Tx, G0LUH, IO91TL, 223, -17
1755345600, 20m, 14076056, FT8, M7DLB, IO90PS, 223, Tx, KD2OM, FN12GX, 291, -17
1755345615, 20m, 14076397, FT8, M7GGV, IO91QM, 223, Tx, KD2OM, FN12GX, 291, -20
1755345749, 15m, 21077342, FT8, M1DBW, IO91CO, 223, Tx, KC0VTJ, EM28QX, 291, -24
1755345598, 15m, 21074932, FT8, M7CVK, IO91BI, 223, Tx, F4IIX, IN95UR, 227, -18
1755345555, 20m, 14076055, FT8, M7DLB, IO90PS, 223, Tx, N9NJY, EM58BL, 291, -19
1755345732, 10m, 28076254, FT8, G3XBM, JO02DG85, 223, Tx, CT3MD, IM13TB73HU, 256, -19
1755345720, 40m, 7075116, FT8, M6INJ, IO90KT, 223, Tx, DO1DBS, JO31QM, 230, -6
1755345747, 20m, 14076701, FT8, M0XFI, IO92CK, 223, Tx, 9A7JCY, JN74OC, 497, -13
1755345539, 15m, 21076300, FT8, M1DBW, IO91CO, 223, Tx, JA2XTV, PM94EX, 339, -13
1755345777, 20m, 14074410, FT8, MW7FGG, IO81HQ, 294, Tx, SQ9HE, KO00LB, 269, -17
1755345777, 20m, 14074867, FT8, G8IXM, JO02PP29, 223, Tx, IU2RPE, JN45JS, 248, -15
1755345778, 20m, 14074899, FT8, G8IXM, JO02PP29, 223, Tx, SV2SIH, KN10MS, 236, -18
1755345777, 20m, 14074868, FT8, G8IXM, JO02PP29, 223, Tx, SP7CWZ, JO91QT, 269, -19
1755345731, 2m, 144175321, FT8, G0BIX, JO01GI, 223, Tx, G4CCC, IO91ML14, 223, -9
1755345750, 20m, 14075950, FT8, M7DLB, IO90PS, 223, Tx, YO2CK, KN15LO, 275, -19
1755345734, 20m, 14075533, FT8, 2E0KKH, JO01JD, 223, Tx, LB1WK, JO49, 266, -12
1755345763, 40m, 7075722, FT8, GW7HQL, IO81IK, 294, Tx, ON5ZZ, JO11VA36, 209, -5
1755345777, 20m, 14074871, FT8, G8IXM, JO02PP29, 223, Tx, OH7NW, KP43CD, 224, -19
1755345719, 20m, 14076397, FT8, M7GGV, IO91QM, 223, Tx, IV3IXN, JN65PX43, 248, -23
1755345732, 20m, 14075465, FT8, GB2CLH, JO02PW, 223, Tx, IV3IXN, JN65PX43, 248, -10
1755345749, 20m, 14076696, FT8, M0XFI, IO92CK, 223, Tx, OZ4DCJ, JO57BF, 221, -21
1755345792, 20m, 14075511, FT8, M0JBF, IO91RV, 223, Tx, OZ4DCJ, JO57BF, 221, -7
1755345747, 20m, 14074374, FT8, MW7FGG, IO81HQ, 294, Tx, EA3NP, JN11BH17TW, 281, -13
1755345792, 20m, 14075483, FT8, M0JBF, IO91RV, 223, Tx, EA3NP, JN11BH17TW, 281, -2
1755345538, 15m, 21076309, FT8, M1DBW, IO91CO, 223, Tx, JA2QPY, PM94CS74PO, 339, -5
1755345719, 15m, 21076303, FT8, M1DBW, IO91CO, 223, Tx, JI1DMH, PM96NF47, 339, -13
1755345524, 15m, 21076822, FT8, 2E0HXM, IO92FR, 223, Tx, JI1DMH, PM96NF47, 339, -16
1755345732, 20m, 14075449, FT8, GB2CLH, JO02PW, 223, Tx, IN3ADG, JN56XW40, 248, -10
1755345794, 20m, 14075521, FT8, M0JBF, IO91RV, 223, Tx, SM0BSO, JO99BG05, 284, -2
1755345793, 20m, 14075549, FT8, M0JBF, IO91RV, 223, Tx, S56IPS, JN75TV55, 499, 8
1755345705, 15m, 21076303, FT8, M1DBW, IO91CO, 223, Tx, PT2FHC, GH64CG, 108, -11
1755345600, 15m, 21076759, FT8, 2E0HXM, IO92FR, 223, Tx, SWL.FN11OD, FN11OD, 236, -14
1755345614, 15m, 21076764, FT8, 2E0HXM, IO92FR, 223, Tx, JA2QPY, PM94CS74PO, 339, -14
1755345732, 40m, 7075108, FT8, M6INJ, IO90KT, 223, Tx, G0ANH, IO94QL, 223, 4
1755345762, 40m, 7075705, FT8, GW7HQL, IO81IK, 294, Tx, G0ANH, IO94QL, 223, -15
1755345734, 40m, 7075121, FT8, M6INJ, IO90KT, 223, Tx, GM1TGY, IO87IK, 279, -22
1755345599, 20m, 14075297, FT8, 2E0ROJ, IO92LM, 223, Tx, SA6BWX, JO67LR, 284, -8
1755345674, 20m, 14075508, FT8, M5ADL, IO80XS, 223, Tx, SA6BWX, JO67LR, 284, -16
1755345719, 20m, 14076702, FT8, M0XFI, IO92CK, 223, Tx, SA6BWX, JO67LR, 284, -15
1755345791, 2m, 144175533, FT8, G0BIX, JO01GI, 223, Tx, EI8IQ, IO62SF28, 245, -14
1755345734, 40m, 7075116, FT8, M6INJ, IO90KT, 223, Tx, DK8AP, JO51CV14, 230, -15
1755345731, 2m, 144175395, FT8, G0BIX, JO01GI, 223, Tx, G8HGN, JO01FO16, 223, 12
1755345629, 15m, 21076318, FT8, M1DBW, IO91CO, 223, Tx, BG5EIB, PM00IM, 318, -19
1755345778, 15m, 21074692, FT8, M7CVK, IO91BI, 223, Tx, RK6DV, KN95OB, 54, -14
1755345778, 15m, 21076324, FT8, M1DBW, IO91CO, 223, Tx, RK6DV, KN95OB, 54, -6
1755345779, 15m, 21075022, FT8, G6PWS, IO91US, 223, Tx, RK6DV, KN95OB, 54, -19
1755345765, 20m, 14075525, FT8, M5ADL, IO80XS, 223, Tx, CT1EYQ, IM58OB, 272, -2
1755345708, 20m, 14075463, FT8, GB2CLH, JO02PW, 223, Tx, YO4RDJ, KN45AK53, 275, -16
1755345791, 20m, 14076055, FT8, M7DLB, IO90PS, 223, Tx, SP9EJH, JO90MI58, 269, 1
1755345795, 20m, 14075516, FT8, M0JBF, IO91RV, 223, Tx, 9A7JCY, JN74OC, 497, 3
1755345792, 20m, 14075509, FT8, M0JBF, IO91RV, 223, Tx, G4IYT, IO91QV, 223, -12
1755345791, 40m, 7075115, FT8, M6INJ, IO90KT, 223, Tx, GW0OGI, IO73RG, 294, -8
1755345779, 15m, 21076306, FT8, M1DBW, IO91CO, 223, Tx, JA1EUR, PM95SR, 339, -13
1755345765, 15m, 21074672, FT8, M7CVK, IO91BI, 223, Tx, LA2G, JP50RA, 266, -13
1755345793, 20m, 14075545, FT8, M0JBF, IO91RV, 223, Tx, SP3DOF, JO72OR66, 269, -9
1755345780, 40m, 7075714, FT8, GW7HQL, IO81IK, 294, Tx, SM7IUN, JO65MR, 284, -15
1755345777, 20m, 14074402, FT8, MW7FGG, IO81HQ, 294, Tx, SP9FZH, JN99QQ, 269, -8
1755345791, 20m, 14075512, FT8, M0JBF, IO91RV, 223, Tx, SP9FZH, JN99QQ, 269, 3
1755345780, 20m, 14075987, FT8, M7DLB, IO90PS, 223, Tx, W1NT-6, FN42LU, 291, -18
1755345792, 20m, 14075522, FT8, M0JBF, IO91RV, 223, Tx, IK4LZH, JN54QM06, 248, -9
1755345731, 40m, 7075116, FT8, M6INJ, IO90KT, 223, Tx, GB2SL, JO03BN, 223, -3
1755345720, 40m, 7075116, FT8, M6INJ, IO90KT, 223, Tx, DK0TUI, JO50KQ, 230, -8
1755345792, 20m, 14075514, FT8, M0JBF, IO91RV, 223, Tx, OH2MOK, KP20MI, 224, -11
1755345495, 40m, 7075953, FT8, M5MOW, IO91VT55LM, 223, Tx, SR4BBX, JO94DU, 269, -22
1755345765, 15m, 21076345, FT8, M1DBW, IO91CO, 223, Tx, SR4BBX, JO94DU, 269, -20
1755345660, 20m, 14075507, FT8, M5ADL, IO80XS, 223, Tx, EA7CL, IM76SR64, 281, -13
1755345675, 20m, 14074579, FT8, 2E0JUJ, IO90HX, 223, Tx, EA7CL, IM76SR64, 281, -18
1755345720, 20m, 14076064, FT8, M7DLB, IO90PS, 223, Tx, EA7CL, IM76SR64, 281, -15
1755345732, 40m, 7075117, FT8, M6INJ, IO90KT, 223, Tx, OG2A, KP11PA, 224, -21
1755345704, 20m, 14075512, FT8, M5ADL, IO80XS, 223, Tx, IK0OZB, JN61OH91, 248, -14
1755345791, 20m, 14075521, FT8, M0JBF, IO91RV, 223, Tx, IK0OZB, JN61OH91, 248, -5
1755345807, 20m, 14076393, FT8, M7GGV, IO91QM, 223, Tx, OH1CMV, KP10EJ, 224, -10
1755345717, 15m, 21075880, FT8, M7IRP, IO92JS, 223, Tx, N4CZ, EM64RP, 291, -13
1755345779, 15m, 21074596, FT8, M7CVK, IO91BI, 223, Tx, JI3CSH, PM74UU, 339, -22
1755345702, 20m, 14075500, FT8, M5ADL, IO80XS, 223, Tx, DC1IK, JN58UE, 230, -12
1755345675, 15m, 21076332, FT8, M1DBW, IO91CO, 223, Tx, LA4JL, JO59KV, 266, -18
1755345792, 20m, 14075506, FT8, M0JBF, IO91RV, 223, Tx, OH6DHM, KP12KS, 224, -16
1755345599, 20m, 14076402, FT8, M7GGV, IO91QM, 223, Tx, RA5BC, KO85CO, 54, -8
1755345599, 20m, 14075295, FT8, 2E0ROJ, IO92LM, 223, Tx, RA5BC, KO85CO, 54, -12
1755345674, 20m, 14075506, FT8, M5ADL, IO80XS, 223, Tx, RA5BC, KO85CO, 54, -14
1755345733, 20m, 14076063, FT8, M7DLB, IO90PS, 223, Tx, RA5BC, KO85CO, 54, -5
1755345749, 20m, 14076700, FT8, M0XFI, IO92CK, 223, Tx, RA5BC, KO85CO, 54, -10
1755345809, 20m, 14074874, FT8, G8IXM, JO02PP29, 223, Tx, RA5BC, KO85CO, 54, -12
1755345777, 15m, 21076303, FT8, M1DBW, IO91CO, 223, Tx, W1VK, FM19EG44, 291, -19
1755345524, 15m, 21076851, FT8, 2E0HXM, IO92FR, 223, Tx, R3KF, KO91MQ, 54, -17
1755345719, 15m, 21075910, FT8, M7IRP, IO92JS, 223, Tx, R3KF, KO91MQ, 54, -18
1755345778, 15m, 21076335, FT8, M1DBW, IO91CO, 223, Tx, R3KF, KO91MQ, 54, -10
1755345734, 20m, 14075456, FT8, GB2CLH, JO02PW, 223, Tx, UR5ZAQ, KN57MW, 288, -17
1755345629, 15m, 21076408, FT8, M1DBW, IO91CO, 223, Tx, IK1SPR, JN34TP, 248, -3
1755345747, 20m, 14076693, FT8, M0XFI, IO92CK, 223, Tx, DL9ATW, JO61VC, 230, -18
1755345807, 20m, 14074815, FT8, G8IXM, JO02PP29, 223, Tx, OJ0G, JP90NH, 167, -14
1755345731, 2m, 144175330, FT8, G0BIX, JO01GI, 223, Tx, G4SWX, JO02RF, 223, -15
1755345807, 40m, 7075967, FT8, M5MOW, IO91VT55LM, 223, Tx, ON6SAT, JO20SV02, 209, 7
1755345523, 20m, 14074867, FT8, G8IXM, JO02PP29, 223, Tx, SP6JM, JO81MC, 269, -13
1755345599, 20m, 14075288, FT8, 2E0ROJ, IO92LM, 223, Tx, SP6JM, JO81MC, 269, -13
1755345704, 20m, 14075464, FT8, GB2CLH, JO02PW, 223, Tx, SP6JM, JO81MC, 269, -5
1755345719, 20m, 14074396, FT8, MW7FGG, IO81HQ, 294, Tx, SP6JM, JO81MC, 269, -13
1755345794, 20m, 14075510, FT8, M0JBF, IO91RV, 223, Tx, SP2WKU, JO84ML, 269, -11
1755345658, 15m, 21076303, FT8, M1DBW, IO91CO, 223, Tx, JA9FPI, PM86GM73, 339, -15
1755345525, 15m, 21076818, FT8, 2E0HXM, IO92FR, 223, Tx, MM7CMB, IO68QI, 279, -13
1755345629, 15m, 21076302, FT8, M1DBW, IO91CO, 223, Tx, MM7CMB, IO68QI, 279, -2
1755345779, 15m, 21074669, FT8, M7CVK, IO91BI, 223, Tx, MM7CMB, IO68QI, 279, -13
1755345809, 15m, 21074998, FT8, G6PWS, IO91US, 223, Tx, MM7CMB, IO68QI, 279, -11
1755345791, 15m, 21074943, FT8, M0KKB, JO01MG, 223, Tx, KA4RSZ, EM73US54, 291, -15
1755345791, 20m, 14075515, FT8, M0JBF, IO91RV, 223, Tx, SM5PNP, JO89BM, 284, 3
1755345807, 20m, 14074405, FT8, MW7FGG, IO81HQ, 294, Tx, SM5PNP, JO89BM, 284, -9
1755345599, 20m, 14076374, FT8, M7GGV, IO91QM, 223, Tx, CT2089SWL, IM59PP, 272, -10
